Afghanistan;85,67855;AFN;10.10.2019;09.11.2019;;
Afghanistan;76,3475;AFN;10.12.2023;09.01.2024;;
Afghanistan;94,4599;AFN;10.03.2023;09.04.2023;;
Afghanistan;96,82875;AFN;10.02.2023;09.03.2023;;
Afghanistan;77,80285;AFN;10.11.2023;09.12.2023;;
Afghanistan;84,57935;AFN;10.04.2020;09.05.2020;;
Afghanistan;84,34865;AFN;10.02.2020;09.03.2020;;
Afghanistan;94,1705;AFN;10.01.2023;09.02.2023;;
Afghanistan;94,34195;AFN;10.07.2021;09.08.2021;;
Afghanistan;82,93895;AFN;10.10.2023;09.11.2023;;
Afghanistan;94,1147;AFN;10.04.2023;09.05.2023;;
Afghanistan;94,04095;AFN;10.07.2023;09.08.2023;;
Afghanistan;94,74445;AFN;10.05.2023;09.06.2023;;
Afghanistan;93,98855;AFN;10.06.2023;09.07.2023;;
Afghanistan;89,3294;AFN;10.09.2023;09.10.2023;;
Afghanistan;94,91355;AFN;10.08.2023;09.09.2023;;
Afghanistan;94,41075;AFN;10.08.2021;09.09.2021;;
Afghanistan;87,09015;AFN;10.01.2020;09.02.2020;;
Afghanistan;95,03955;AFN;10.02.2021;09.03.2021;;
Afghanistan;91,85425;AFN;10.08.2022;09.09.2022;;
Afghanistan;93,95075;AFN;10.07.2022;09.08.2022;;
Afghanistan;101,12615;AFN;10.09.2021;09.10.2021;;
Afghanistan;91,4029;AFN;10.05.2022;09.06.2022;;
Afghanistan;96,9512;AFN;10.04.2022;09.05.2022;;
Afghanistan;105,30445;AFN;10.11.2021;09.12.2021;;
Afghanistan;85,0082;AFN;10.10.2022;09.11.2022;;
Afghanistan;88,28465;AFN;10.11.2022;09.12.2022;;
Afghanistan;117,52165;AFN;10.01.2022;09.02.2022;;
Afghanistan;91,4454;AFN;10.12.2020;09.01.2021;;
Afghanistan;82,97495;AFN;10.03.2020;09.04.2020;;
Afghanistan;89,95845;AFN;10.11.2020;09.12.2020;;
Afghanistan;107,9328;AFN;10.12.2021;09.01.2022;;
Afghanistan;103,5361;AFN;10.03.2022;09.04.2022;;
